Business Sector	Claims	Min	Median	Mean	Max  
Education	8	2560	132650	204858	680000  
Entertainment	2	1125000	5812500	5812500	10500000  
Financial Services	8	20100	166000	1060138	4750000  
Healthcare	29	5390	254000	1612343	20000000  
Hospitality	4	55000	113282	129141	235000  
Non Profit	6	12500	47500	131750	500000  
Other	5	34500	86000	721250	3000000  
Professional Services	9	33000	209500	189389	354000  
Retail	11	50000	270000	247741	520000  
Technology	6	510000	1100000	1021394	1553365  
Telecommunications	0	0	0	0	0
