Business Sector,Claims,Min,Median,Mean,Max 
Education,6,12900,53000,98591,241950 
Entertainment,3,140000,1294538,1453179,2925000 
Financial Services,16,1000,231787,287957,1363895 
Gaming & Casino,1,144000,144000,144000,144000 
Healthcare,19,2500,152137,1381421,13700000 
Hospitality,5,5000,14212,99203,364000 
Media,1,1152317,1152317,1152317,1152317 
Non Profit,6,15000,110000,141339,398000 
Other,2,203000,331500,331500,460000 
Professional Services,7,40000,230000,388453,995000 
Retail,10,15000,183750,1413039,11750000 
Technology,8,7500,94050,787617,5000000 
Transportation,1,55000,55000,55000,55000 
